time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-20T21:41:55.850Z,40.7531667,-112.0323333,8.03,1.95,ml,28,43,0.02502,0.17,uu,uu60367827,2020-03-21T16:18:13.957Z,"7km NNW of West Valley City, Utah",earthquake,0.34,0.63,0.075,10,reviewed,uu,uu
2020-03-20T16:13:04.720Z,40.7323333,-112.0851667,8.11,1.73,ml,31,47,0.02178,0.21,uu,uu60367722,2020-03-20T23:03:00.197Z,"2km NNE of Magna, Utah",earthquake,0.3,0.74,0.116,9,reviewed,uu,uu
2020-03-20T14:01:08.200Z,40.7476667,-112.0376667,8.34,2.44,ml,33,41,0.02074,0.15,uu,uu60367652,2020-03-21T05:42:39.040Z,"6km NE of Magna, Utah",earthquake,0.26,0.6,0.211,16,reviewed,uu,uu
2020-03-20T13:53:39.640Z,40.749,-112.0528333,8.74,1.45,ml,19,46,0.0198,0.14,uu,uu60367642,2020-03-20T16:56:14.020Z,"6km NE of Magna, Utah",earthquake,0.29,0.62,0.21,5,reviewed,uu,uu
2020-03-20T11:58:04.450Z,40.756,-112.0628333,7.97,1.41,ml,19,63,0.03552,0.13,uu,uu60367607,2020-03-20T17:08:20.680Z,"6km NNE of Magna, Utah",earthquake,0.3,0.76,0.276,4,reviewed,uu,uu
2020-03-20T11:17:13.420Z,40.7578333,-112.0686667,7.17,1.48,ml,17,79,0.008453,0.13,uu,uu60367587,2020-03-20T18:34:53.210Z,"6km NNE of Magna, Utah",earthquake,0.37,0.59,0.191,2,reviewed,uu,uu
2020-03-20T10:58:08.240Z,40.7583333,-112.0563333,7.23,2.04,ml,33,41,0.01731,0.16,uu,uu60367577,2020-03-20T22:10:39.483Z,"3km NE of Magna, Utah",earthquake,0.24,0.53,0.184,12,reviewed,uu,uu
2020-03-20T10:35:46.130Z,40.7526667,-112.0661667,8.99,1.12,ml,14,97,0.009191,0.13,uu,uu60367562,2020-03-20T18:34:08.160Z,"5km NNE of Magna, Utah",earthquake,0.43,0.85,0.108,3,reviewed,uu,uu
2020-03-20T10:20:33.490Z,40.7523333,-112.0673333,8.51,1.33,ml,13,66,0.008348,0.14,uu,uu60367557,2020-03-20T22:13:54.410Z,"5km NNE of Magna, Utah",earthquake,0.36,0.94,0.189,3,reviewed,uu,uu
2020-03-20T08:54:04.670Z,40.7615,-112.053,7.4,2.21,ml,32,53,0.02076,0.14,uu,uu60367492,2020-03-20T22:09:47.963Z,"6km NE of Magna, Utah",earthquake,0.26,0.51,0.182,12,reviewed,uu,uu
2020-03-20T07:31:20.900Z,40.7461667,-112.0403333,7.68,1.53,ml,41,43,0.01949,0.24,uu,uu60367437,2020-03-22T19:27:01.729Z,"6km NNW of West Valley City, Utah",earthquake,0.31,0.79,0.057,4,reviewed,uu,uu
2020-03-20T05:48:01.370Z,40.76,-112.057,7.59,1.64,ml,19,58,0.01738,0.18,uu,uu60367377,2020-03-22T01:07:43.810Z,"6km NNE of Magna, Utah",earthquake,0.32,0.85,0.195,4,reviewed,uu,uu
2020-03-20T05:35:04.180Z,40.7421667,-112.0568333,8.71,1.71,ml,38,54,0.0198,0.25,uu,uu60367367,2020-03-22T01:05:21.239Z,"5km NE of Magna, Utah",earthquake,0.36,0.79,0.164,7,reviewed,uu,uu
2020-03-20T05:03:06.080Z,40.757,-112.0741667,9.65,1.53,ml,14,99,0.004665,0.13,uu,uu60367347,2020-03-20T20:16:33.990Z,"5km NNE of Magna, Utah",earthquake,0.41,0.93,0.017,2,reviewed,uu,uu
2020-03-20T05:02:02.870Z,40.7648333,-112.0753333,10.45,2.13,ml,34,53,0.01154,0.15,uu,uu60367352,2020-03-20T14:41:05.726Z,"6km NNE of Magna, Utah",earthquake,0.25,0.45,0.198,8,reviewed,uu,uu
2020-03-20T04:52:22.560Z,40.7486667,-112.058,7.82,1.86,ml,42,52,0.0161,0.19,uu,uu60367337,2020-03-20T22:14:17.072Z,"5km NE of Magna, Utah",earthquake,0.24,0.66,0.123,11,reviewed,uu,uu
2020-03-20T04:20:46.570Z,40.7606667,-112.0688333,9.75,2.3,ml,29,50,0.01011,0.12,uu,uu60367307,2020-03-23T01:37:36.994Z,"6km N of Magna, Utah",earthquake,0.25,0.41,0.136,10,reviewed,uu,uu
2020-03-20T04:20:23.450Z,40.7638333,-112.072,9.68,1.76,ml,23,55,0.01136,0.11,uu,uu60367302,2020-03-20T14:56:46.810Z,"6km NNE of Magna, Utah",earthquake,0.25,0.44,0.319,10,reviewed,uu,uu
2020-03-20T02:51:14.580Z,40.7555,-112.0565,8.3,1.66,ml,23,53,0.01662,0.14,uu,uu60367242,2020-03-20T17:08:31.301Z,"6km NE of Magna, Utah",earthquake,0.27,0.61,0.074,8,reviewed,uu,uu
2020-03-20T02:16:30.750Z,40.7536667,-112.0706667,5.29,1.56,ml,34,50,0.03756,0.18,uu,uu60367227,2020-03-22T19:25:33.460Z,"5km NNE of Magna, Utah",earthquake,0.28,0.77,0.14,4,reviewed,uu,uu
2020-03-20T01:10:49.820Z,40.759,-112.0816667,7.91,1.71,ml,24,60,0.04489,0.25,uu,uu60367167,2020-03-21T16:22:43.370Z,"5km NNE of Magna, Utah",earthquake,0.44,1.07,0.117,7,reviewed,uu,uu
2020-03-20T01:01:48.940Z,40.7666667,-112.0811667,5.89,1.7,ml,34,54,0.04186,0.23,uu,uu60367162,2020-03-21T16:21:58.330Z,"6km NNE of Magna, Utah",earthquake,0.3,0.94,0.109,8,reviewed,uu,uu
2020-03-20T00:55:22.460Z,40.7545,-112.0345,7.72,1.93,ml,39,44,0.02397,0.24,uu,uu60367152,2020-03-20T20:16:36.198Z,"7km NNW of West Valley City, Utah",earthquake,0.32,0.84,0.171,10,reviewed,uu,uu
2020-03-19T21:50:09.410Z,40.7685,-112.0695,7.54,1.47,ml,19,59,0.03284,0.15,uu,uu60367032,2020-03-19T22:07:16.790Z,"7km NNE of Magna, Utah",earthquake,0.27,0.92,0.103,4,reviewed,uu,uu
2020-03-19T20:37:39.230Z,40.761,-112.0708333,9.17,1.14,ml,15,83,0.03663,0.13,uu,uu60366947,2020-03-20T16:59:25.090Z,"6km NNE of Magna, Utah",earthquake,0.32,1.11,0.286,3,reviewed,uu,uu
2020-03-19T20:29:10.820Z,40.7466667,-112.0508333,8.81,1.43,ml,19,52,0.02274,0.13,uu,uu60366937,2020-03-20T16:58:42.160Z,"5km NE of Magna, Utah",earthquake,0.32,1.06,0.384,3,reviewed,uu,uu
2020-03-19T20:28:07.710Z,40.7571667,-112.0741667,6.15,1.72,ml,28,59,0.04071,0.2,uu,uu60366932,2020-03-20T02:32:10.787Z,"5km NNE of Magna, Utah",earthquake,0.35,0.82,0.215,6,reviewed,uu,uu
2020-03-19T19:40:14.240Z,40.7286667,-112.09,8.6,1.6,ml,31,49,0.04117,0.24,uu,uu60366877,2020-03-20T02:52:42.244Z,"2km NNE of Magna, Utah",earthquake,0.43,1,0.062,5,reviewed,uu,uu
2020-03-19T19:22:50.490Z,40.7573333,-112.0728333,10.23,1.25,ml,17,104,0.04135,0.13,uu,uu60366862,2020-03-20T16:57:57.100Z,"5km NNE of Magna, Utah",earthquake,0.35,0.89,0.264,3,reviewed,uu,uu
2020-03-19T18:46:26.750Z,40.7541667,-112.0566667,5.7,1.48,ml,21,56,0.03221,0.29,uu,uu60366832,2020-03-19T22:20:14.130Z,"6km NE of Magna, Utah",earthquake,0.5,1.49,0.158,4,reviewed,uu,uu
2020-03-19T18:16:39.430Z,40.7273333,-112.0988333,11.08,2.74,ml,61,41,0.04283,0.19,uu,uu60366812,2020-03-23T03:04:10.257Z,"1km NNW of Magna, Utah",earthquake,0.22,0.45,0.126,17,reviewed,uu,uu
2020-03-19T17:53:23.880Z,40.751,-112.0468333,6.52,1.48,ml,10,80,0.02543,0.09,uu,uu60020334,2020-03-20T15:11:47.060Z,"6km NE of Magna, Utah",earthquake,0.38,0.75,0.273,2,reviewed,uu,uu
2020-03-19T17:53:13.600Z,40.7623333,-112.0303333,5.97,1.45,ml,9,103,0.0356,0.15,uu,uu60366797,2020-03-20T15:02:27.860Z,"8km NNW of West Valley City, Utah",earthquake,0.57,1.11,0.432,2,reviewed,uu,uu
2020-03-19T17:43:18.280Z,40.776,-112.073,8.77,1.1,ml,13,108,0.03416,0.14,uu,uu60366792,2020-03-20T16:57:13.990Z,"7km NNE of Magna, Utah",earthquake,0.45,0.87,0.101,2,reviewed,uu,uu
2020-03-19T17:18:44.450Z,40.7493333,-112.0576667,8.32,1.68,ml,35,47,0.02782,0.21,uu,uu60366752,2020-03-19T18:32:45.512Z,"5km NE of Magna, Utah",earthquake,0.32,0.82,0.262,5,reviewed,uu,uu
2020-03-19T17:11:06.060Z,40.7575,-112.0363333,6.88,1.91,ml,35,45,0.02141,0.18,uu,uu60366737,2020-03-20T15:05:57.907Z,"7km NNW of West Valley City, Utah",earthquake,0.24,0.7,0.175,9,reviewed,uu,uu
2020-03-19T16:35:13.190Z,40.7776667,-112.0776667,8.2,1.55,ml,23,86,0.03764,0.18,uu,uu60366717,2020-03-20T02:38:30.293Z,"7km NNE of Magna, Utah",earthquake,0.33,0.86,0.051,3,reviewed,uu,uu
